risk_segment,num_loans,total_upb,avg_lgd,avg_pd,total_el,default_rate,el_share,upb_share
Low,259392,54296923000,0.16721684,0.00720430645012811,66176518.94360824,2.313101406365655e-05,0.0604987705780594,0.21998925783844367
Medium,363394,90692737000,0.26002267,0.010875853180709785,256869947.54403532,6.879585243564836e-05,0.23483127056150072,0.3674504336823499
High,259091,66477264000,0.2513567,0.018571984619396298,319128269.21372384,0.0001736841495845089,0.2917480135300927,0.2693390925760248
Very High,155623,35349323000,0.3049447,0.03847907239619793,451674251.82843775,0.10450254782390778,0.4129219453303471,0.1432212159031816
