loan_grade,num_loans,total_upb,avg_pd,avg_lgd,total_el,default_rate,el_rate,el_share,upb_share
A,299848,69620282000,0.003480760251860943,0.20190568,54715759.25537116,0.0030582161628558467,0.0007859169437919134,0.050021309960649636,0.2820733353100536
B,312932,77874165000,0.010779249165952987,0.2591613,237849764.1059,0.010491097107358786,0.003054283331396234,0.2174429622529765,0.315514744051675
C,195002,46869071000,0.021614470620814143,0.25464025,286965782.85691655,0.021415164972666947,0.006122711134106254,0.2623449727781526,0.18989459393246508
D,199864,47186504000,0.02817543429532082,0.24182591,351023985.8665027,0.0280540767722051,0.00743907592447414,0.32090717262462887,0.191180704566827
E,29854,5266225000,0.07898542908822938,0.36234757,163293695.44511476,0.0789173980036176,0.03100773237852822,0.14928358238359235,0.02133662213897937
